#Table: J/A+A/291/943/table1.dat (http://cdsarc.cds.unistra.fr)
#-----------------------------------------------------------------
# n(H)|  Lambda0|   Kappa0|  Lambda1|   Kappa1|  Lambda2|   Kappa2
#-----|---------|---------|---------|---------|---------|---------
 0   |1.000E+00|9.180E+03|1.000E+00|1.106E+04|1.000E+00|1.062E+04
 0   |1.166E+00|7.853E+03|1.166E+00|9.413E+03|1.166E+00|9.061E+03
 0   |1.359E+00|6.572E+03|1.359E+00|7.916E+03|1.359E+00|7.593E+03
 0   |1.585E+00|5.231E+03|1.585E+00|6.470E+03|1.585E+00|6.099E+03
 0   |1.848E+00|4.143E+03|1.848E+00|5.340E+03|1.848E+00|4.888E+03
 0   |2.154E+00|3.250E+03|2.154E+00|4.419E+03|2.154E+00|3.888E+03
 0   |2.512E+00|2.498E+03|2.512E+00|3.658E+03|2.512E+00|3.034E+03
 0   |2.712E+00|2.205E+03|2.712E+00|3.380E+03|2.712E+00|2.688E+03
 0   |2.818E+00|2.072E+03|2.818E+00|7.170E+03|2.818E+00|2.945E+03
 0   |2.929E+00|1.950E+03|2.929E+00|3.129E+04|2.929E+00|5.412E+03
 0   |3.043E+00|1.837E+03|3.043E+00|3.314E+04|3.043E+00|5.060E+03
 0   |3.162E+00|1.730E+03|3.162E+00|1.636E+04|3.162E+00|3.397E+03
 0   |3.286E+00|1.624E+03|3.286E+00|5.111E+03|3.286E+00|2.275E+03
 0   |3.414E+00|1.521E+03|3.414E+00|3.063E+03|3.414E+00|1.976E+03
 0   |3.548E+00|1.423E+03|3.548E+00|2.555E+03|3.548E+00|1.820E+03
 0   |3.687E+00|1.357E+03|3.687E+00|1.847E+03|3.687E+00|1.680E+03
 0   |3.831E+00|1.295E+03|3.831E+00|1.816E+03|3.831E+00|1.609E+03
 0   |3.981E+00|1.235E+03|3.981E+00|1.714E+03|3.981E+00|1.535E+03
 0   |4.299E+00|1.116E+03|4.299E+00|1.763E+03|4.299E+00|1.411E+03
 0   |4.642E+00|1.011E+03|4.642E+00|1.892E+03|4.642E+00|1.309E+03
 0   |5.012E+00|9.186E+02|5.012E+00|1.269E+03|5.012E+00|1.147E+03
 0   |5.412E+00|8.404E+02|5.412E+00|1.157E+03|5.412E+00|1.048E+03
 0   |5.843E+00|7.902E+02|5.843E+00|2.584E+03|5.843E+00|1.131E+03
 0   |6.310E+00|7.652E+02|6.310E+00|2.277E+03|6.310E+00|1.076E+03
 0   |6.813E+00|7.395E+02|6.813E+00|2.114E+03|6.813E+00|1.031E+03
 0   |7.356E+00|7.143E+02|7.356E+00|1.350E+03|7.356E+00|9.275E+02
 0   |7.943E+00|7.056E+02|7.943E+00|1.050E+03|7.943E+00|8.802E+02
 0   |8.577E+00|7.971E+02|8.577E+00|9.804E+02|8.577E+00|9.391E+02
 0   |8.912E+00|1.083E+03|8.912E+00|1.590E+03|8.912E+00|1.247E+03
 0   |9.261E+00|1.411E+03|9.261E+00|1.569E+03|9.261E+00|1.527E+03
 0   |9.623E+00|1.789E+03|9.623E+00|2.642E+03|9.623E+00|1.976E+03
 0   |9.810E+00|1.958E+03|9.810E+00|5.186E+03|9.810E+00|2.397E+03
 0   |1.000E+01|2.068E+03|1.000E+01|2.899E+03|1.000E+01|2.269E+03
 0   |1.039E+01|1.908E+03|1.039E+01|3.282E+03|1.039E+01|2.180E+03
 0   |1.080E+01|1.619E+03|1.080E+01|4.834E+03|1.080E+01|2.103E+03
 0   |1.122E+01|1.415E+03|1.122E+01|6.669E+03|1.122E+01|2.135E+03
 0   |1.166E+01|1.176E+03|1.166E+01|7.982E+03|1.166E+01|2.045E+03
 0   |1.259E+01|7.545E+02|1.259E+01|8.163E+03|1.259E+01|1.583E+03
 0   |1.359E+01|6.374E+02|1.359E+01|6.818E+03|1.359E+01|1.298E+03
 0   |1.468E+01|5.990E+02|1.468E+01|5.117E+03|1.468E+01|1.091E+03
